code,name,unit,price,quantity,category
"B-1255","BOMB 12V CHIQUITA PIZARRA",UNO,"250",422,"BOMBILLOS",
"B-1256","BOMB COLA PESCAO",UNO,"250",63,"BOMBILLOS",
"B-1257","LED 12V TIRILLA",UNO,"300",0,"BOMBILLOS",
"B-1258","LED 24V TIRILLA",UNO,"300",88,"BOMBILLOS",
"B-1260","BOMBILLO FAN 32 VOLT 3 CARAS",UNO,"3000",3,"BOMBILLOS",
"B-1261","BOMB MOTORINA",UNO,"1500",0,"BOMBILLOS",
"B-1262","BOMB H4 (4 CARAS)",UNO,"3200",4,"BOMBILLOS",
"B-1263","BOMBILLO MEDIANO LED TRACERO",UNO,"600",0,"BOMBILLOS",
"B-1264","BOMBILLO 24V 21W",UNO,"400",62,"BOMBILLOS",
"B-1265","BOMB H4  12 V HALOGENO",PAR,"1700",22,"BOMBILLOS",
"B-1266","HALOGENO 24 V",UNO,"2000",0,"BOMBILLOS",
"B-1267","BOMB 1FIL 21W 12 VOLT",UNO,"400",183,"BOMBILLOS",
"B-1268","BOMB 2FIL 21M (2 FILAMENTOS)",UNO,"400",31,"BOMBILLOS",
"B-1269","BOMB PARPADEO",UNO,"700",0,"BOMBILLOS",
"B-1606","BOMBILLO H1 12 VOLT",UNO,"1500",1,"BOMBILLOS",
"B-1614","BOMBILLO HB3 AUTO MODERNO",UNO,"4500",2,"BOMBILLOS",
"B-1777","BOMBILLO PARA PIZARRA 24 V",UNO,"250",206,"BOMBILLOS",
"BT-1379","BATER -IDON  90 AMP",UNO,"50000",3,"BATERIAS",
"BT-1380","BATER-IDON 100 AMP",UNO,"65000",25,"BATERIAS",
"BT-1381","BATERIA 75A JAPONESA",UNO,"105000",90,"BATERIAS",
"BT-1382","BATERIA RAYOSONIK 150 AMP",UNO,"105000",11,"BATERIAS",
"BT-1383","BATER MOURA -90 AMP",UNO,"65000",12,"BATERIAS",
"BT-1384","BATER- OMEGA 75AMP",UNO,"50000",7,"BATERIAS",
"BT-1385","BATERIA 200 A JAPONESA",UNO,"120000",9,"BATERIAS",
"BT-1386","BATERERIA 100 AMP JAPONESA",UNO,"60000",76,"BATERIAS",
"BT-1387","BATER- OMEGA 200 AMP",UNO,"120000",32,"BATERIAS",
"BT-1750","BATERIA AAA",UNO,"100",0,"BATERIAS",
"BT-1751","BATERIA AA",UNO,"120",0,"BATERIAS",
"BT-1784","BATERIA DE MOTO 7AMP",UNO,"15000",4,"BATERIAS",
"ED-1279","OLLAS FRIJOLERAS",UNO,"27000",8,"ELECTROS",
"ED-1586","INVERSOR 72 VOLT",UNO,"63000",0,"ELECTROS",
"ED-1587","INVERSOR 2200 W",UNO,"59000",0,"ELECTROS",
"ED-1588","CARGADOR 10 A 12 VOLT",UNO,"18000",0,"ELECTROS",
"ED-1589","CARGADOR 20 A",UNO,"50000",0,"ELECTROS",
"ED-1590","COMPRESOR DE AIRE 12 VOLT",UNO,"18000",2,"ELECTROS",
"ED-1594","MPPT SOLAR 50 A",UNO,"21000",3,"ELECTROS",
"ED-1601","TRANSFER AUTOMATICO",UNO,"21000",0,"ELECTROS",
"ED-1617","EQUIPO DE SOLDAR ELECTRICO",UNO,"126000",1,"ELECTROS",
"ED-1621","REPRODUCTORA CON BOCINA",UNO,"55000",1,"ELECTROS",
"ED-1628","GPS DIGITAL",UNO,"25000",2,"ELECTROS",
"ED-1630","CARGADOR MOVIL CON BLUETOOTH",UNO,"5000",1,"ELECTROS",
"ED-1651","BOCINAS PIONERS 750W",UNO,"38400",1,"ELECTROS",
"ED-1666","VENTILADOR MILEXUS",UNO,"15000",37,"ELECTROS",
"ED-1667","VENTILADOR RECARGABLE",UNO,"35000",155,"ELECTROS",
"ED-1739","HIDROLAVADORA",UNO,"126000",1,"ELECTROS",
"ED-1786","BOMBA AUTOCEBANTE",UNO,"32000",2,"ELECTROS",
"ED-1787","TALADRO ELECTRICO",UNO,"19000",0,"ELECTROS",
"ET-1763","MOTORINA 3 RUEDAS",UNO,"675000",0,"EQUIPOS DE TRANSPORTE",
"FF-1001","BUJIA ESTRELLA ROJA",UNO,"2500",14,"FERRETERIA",
"FF-1036","LATAS DE OLOR",UNO,"2500",24,"FERRETERIA",
"FF-1044","SOPORTE TELEFONO",UNO,"3500",6,"FERRETERIA",
"FF-1062","HERRAJE BAÑO",UNO,"3500",0,"FERRETERIA",
